LOTOCV_bladder	LOTOCV_bonemarrow	LOTOCV_brain	LOTOCV_breast	LOTOCV_colonsigmoid	LOTOCV_colontransverse	LOTOCV_heart	LOTOCV_hypothalamus	LOTOCV_kidney	LOTOCV_liver	LOTOCV_lung	LOTOCV_lymphnodes	LOTOCV_ovary	LOTOCV_pancreas	LOTOCV_prostate	LOTOCV_skin	LOTOCV_stomach	LOTOCV_testis	LOTOCV_adrenal.gland	LOTOCV_aorta	LOTOCV_spleen	LOTOCV_large.intestine	LOTOCV_small.intestine	LOTOCV_trachea	LOTOCV_thyroid	LOTOCV_uterus	full.model
chr1:43422000-43424000	0.00418736809175531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:84246000-84248000	0.0550368311874278	0.0450906379996802	0.024250444689281	0.0201072827825301	0.0480734704098875	0.0470371261305872	0.0389771919591762	0.0373160154360531	0.0303246914765435	0.0395422618696222	0.0491999385119576	0.0307961801196816	0.0296664166362303	0.0461162547796295	0.0374628013614701	0.0397698829271438	0	0.0432647597181439	0.0388094513100233	0.0383152825422976	0.0424899497836655	0.0408651542957932	0.0337948356483522	0.0371973107177309	0.0366142314014178	0.0444791544430351	0.0390461953532578
chr1:87744000-87746000	0	0	0	0.00880959002111597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00140340303578207	0	0	0	0	0
chr1:93824000-93826000	0.0149304944069126	0.0756663854015836	0.068203198023593	0.0770610450125213	0.0648642804644914	0.0522005609952196	0.0523178894710683	0.0549603635130288	0.0511680501257563	0.0411580813209601	0.0703604876412693	0.0650967956430232	0.0578439824982147	0.0597127203621642	0.0636936077550927	0.0750637737354801	0.0660694595955359	0.0832539281207459	0.0589564609892705	0.0584651691102339	0.0561868289849465	0.0535034604769525	0.0582239479257142	0.0552500871973704	0.0618872481994154	0.0711998516216042	0.058243872633716
chr1:108192000-108194000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0342428865445326	0	0	0	0	0	0	0	0	0	0
chr1:146988000-146990000	0	0	0	0.000102548872916397	0	0	0	0	0	0	0	0	0	0.00786781227104364	0	0.00853805510358968	0	0	0	0	0	0	0	0	0	0	0
chr1:151132000-151134000	0	0	0	0	0	0	0	0	0	0	0	0	0.00844493857112848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:156676000-156678000	0	0	0	0	0	0	0	0	0	0	0	0	0.00276914981633595	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:166944000-166946000	0	0	0	0	0	-0.0094079489222794	-0.000774611878601539	0	0	0	0	0	0	-0.00102329585013946	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:175104000-175106000	0	-0.0431365100878348	-0.0303392371498012	-0.017614668569475	-0.0184562248165948	-0.0211999783200044	-0.0329734672814388	0	-0.00681171089538124	-0.0140749711759806	0	-0.0117949890677064	-0.0181931937306317	-0.0311681244588518	-0.00788757839492371	0	0	0	-0.0172368780372168	-0.0194014483249414	-0.0180301230072162	-0.0276560904637421	-0.020993454797123	-0.0164392260049365	-0.0194632933396598	-0.00928472264926432	-0.0173369126560943
chr1:175106000-175108000	0	0	0	0	0	0	0	0	0	0	0	0	-0.0213763907709266	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1:184036000-184038000	0.00509229377559441	0.0206667368703064	0	0	4.74673074245312e-05	0	0.00157467485840182	0	0	0	0.000962481581183846	0.00747756980212163	0	0	0.00699591531438139	0	0	0	0	0	0	0.018149412524272	0.00532911739886504	0	0.000736216487396765	0.00580523725816482	0
chr1:228556000-228558000	0	0	0	0	0	0	0	0	-0.0103092738662864	0	-0.00265255173559824	0	0	0	0	-0.00584885189640435	0	0	0	0	0	0	0	0	0	0	0
chr1:228636000-228638000	0.0763559767956519	0.0440487169763026	0.0499997706117174	0.061339154572204	0.0632234183361829	0.0680138521523948	0.0722967079288562	0.0720893519590725	0.0513615401834229	0.0654753705284204	0.0415374525697534	0.052821197387651	0.013630926908639	0.0616799024506993	0.0625781688940067	0.0940959394862755	0.0527332617135058	0.0586555978169578	0.0594803344389938	0.0626828094649749	0.0591875755430289	0.0425572877076409	0.0594212989373021	0.0653986206761098	0.0634586860928014	0.0706000245717379	0.0598038326814434
chr1:232286000-232288000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00393480782991617	0	0	0	0	0	0	0	0	0
chr1:236096000-236098000	-0.0524658385144812	-0.0580876170022165	-0.0489054287787406	-0.0402626261654958	-0.0593053930778368	-0.0668488977369856	-0.0558089500593233	-0.0568767044615323	-0.0517103563527572	-0.0440718137327663	-0.0553043218440126	-0.0465366291198411	-0.0672024627530314	-0.0627253983815999	-0.0547371089291132	-0.0233677251994079	-0.0635691559748534	-0.0403375120953025	-0.0562396759795414	-0.0548832584262758	-0.0546106612787846	-0.0623344173804951	-0.0551370920487064	-0.0568224388682946	-0.0621997466519605	-0.038340176792673	-0.0551664890868366
chr1:239938000-239940000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.65257635660353e-05	0	0	0	0	0	0	0	0	0
chr2:3502000-3504000	0	0	0	0	0	0	0	0	0	0	-0.0142212993621066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:11634000-11636000	0	0	0	-0.00532940735897958	0	0	0	0	0	0	0	0	0	0	0	-0.0197823995006802	0	0	0	0	0	0	0	0	0	0	0
chr2:21264000-21266000	0	0	0	0	0	-0.00241008172225886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:33000000-33002000	0	-0.00982031939416186	-0.00636243231578643	-0.0235333826243323	0	-0.00384281012029871	0	-0.00970599571816416	0	0	0	0	-0.00568139145616579	0	0	0	0	0	0	0	0	0	0	0	-0.000550130751092824	-0.00216802611493324	0
chr2:47570000-47572000	0	0.0136176862778599	0.0203524413325203	0.0166557906772826	0.0225149995309032	0.0343505997950584	0.0183448536689799	0.0203019420589991	0.0315510565297421	0.00789618179975454	0.00580630477887104	0.013817857490422	0.0219772460021182	0.0117244943239955	0.0300689081684304	0.0286631990441694	0.0348204122357551	0.0106437816414584	0.0232098949040317	0.0254839408508911	0.0278303510675141	0.00940420318435483	0.028818745979057	0.0219168168824579	0.0220123372025404	0.0208600716409654	0.0239221166618124
chr2:48580000-48582000	0	-0.00057174280921025	-0.0261541659498785	0	-0.000244677559443489	-0.0155645668528717	-0.0195910869299729	-0.0169975389710525	0	0	-0.0287785402120586	-0.00796741592793174	0	-0.0099314898816128	0	0	0	-0.0285767606222767	-0.00847943190325362	-0.00936372844195283	-0.00657541009414552	-0.00016733877041423	-0.00335485854340586	-0.0022022370695314	-0.0102530860801007	-0.0130616636612352	-0.00707126143867745
chr2:69748000-69750000	0.000928047551814081	0	0	0	0.0130028751520763	0.00861138592161827	0.00967333419509976	0	0.0194081543820007	0	0	0.00500745279940958	0.00334321686630769	0.00146965187588807	0	0	0	0	0.00419587022092704	0.00524604138572014	0.00520559572525478	0	0.00333807011728632	0.00757499918908286	0.00408654083149685	0.0247243725842724	0.00513970104260448
chr2:71306000-71308000	0	0	0	0	0	0	0	0	0.0021462433638395	0	0	0	0	0.000324096292222198	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:87534000-87536000	-0.0450689212986206	-0.00615554409742669	-0.0231874035346023	0	-0.0103690334233318	0	-0.00471132671238163	-0.018282080083944	-0.00997424601861515	0	0	-0.013835410336656	-0.0059945264189545	-0.00295743127535568	-3.34280035653397e-05	-0.0362051823235793	-0.00407026246226768	-0.00862597591314206	-0.012826583448857	-0.0119971928714203	-0.0101693156714029	-0.00733691397519535	-0.0115835918929323	-0.0132277372915507	-0.00958600976463155	-0.00930737462718984	-0.0131337651722311
chr2:97548000-97550000	-0.00678585439191531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:112432000-112434000	0	0	0	0	0	0.0097560567877482	0	0	0	0.00166788807922889	0	0	0.000921159655190118	0	0	0.0170511628026888	0	0	0	0	0	0.00784006658205766	0	0	0	0	0
chr2:118856000-118858000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185889974236154	0	0	0	0	0	0	0	0	0	0	0	0
chr2:133894000-133896000	0	0.00234118952747961	0	0.0125776854242726	0	0.0111704693662464	0.00550386527990117	0.00538517743689769	0.00114354599252152	0	0.000986147566682388	0.00609213215844162	0	0.00886359696580297	0.00890501079192063	0	0	0	0.00960373418040099	0.0125479918331588	0.0100488727481812	0.0239764525944224	0.006617446252982	0.0121665417605109	0.00145370019956441	0.00498314102461189	0.009736608711553
chr2:142872000-142874000	0	0	0	0	0	0	0	0	0	0	0.000218435000184727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:170712000-170714000	0.0327083200519919	0	0	0	0	0.000998141978744778	0.0141073135866556	0	0	0	0	0	0	0	0.00140122293547164	0	0	0	0.00197343992844965	5.05410755893674e-05	0.00366336129046153	0	0.00598158236817772	0	0.00420057765164738	0.00221849286585815	0.000647286610965827
chr2:180018000-180020000	0	0	0.0276827919779994	0	0.0075603223410849	0	0.00280394639574464	0	0.000299234221616049	0.0153789503899896	0	0	0.000383713729746894	0	0.0034385740700409	0	0	0	8.74979115035869e-05	0	0	0	0	0	0.000538132941318154	0	0
chr2:191846000-191848000	0	0	0	0	0	0	0.00227931988613215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:201282000-201284000	0	-0.0293051550905754	-0.0173134984507953	-0.0284152329067656	-0.0154875263008392	-0.0349345483353311	-0.0288427763779979	-0.0262532250545603	-0.02784249955699	-0.034818956848947	-0.0199051887417856	-0.0324329109440874	0	-0.0256247974879325	-0.0236425920197175	-0.0391419837181277	-0.00767920667747788	-0.0186266939326919	-0.0275065489796997	-0.0284743628057967	-0.0266256465137208	-0.0237884393628129	-0.0215474513844239	-0.0275651306553742	-0.0277229312492035	-0.0213196469767197	-0.0278158388004848
chr2:222288000-222290000	0	0.00392547117688952	0.00220029861328361	0	0	0	0	0.0110869747770129	0	0.00080272213619138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:237484000-237486000	0.00378923042542373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2:242066000-242068000	0	0	0.00526062545772737	0	0.0296340542773719	0.00712622792509687	0	0.00165601798122301	0.0124167246643659	0.00317719737709073	0	0.0216233670868801	0.0208145455368385	0.0128187031530177	0.00172395063504274	0	0.0176430664264521	0.0395990477279407	0.0154339006474517	0.0128043820826369	0.0114901531814055	0.0241912872316195	0.0268621835044658	0.00761652241176144	0.0144196965803902	0.0127973131047701	0.0153562338831118
chr3:20436000-20438000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00787535969728799	0	0	0	0	0	0	0	0	0	0
chr3:105762000-105764000	0	0	0.0215053499766896	0	0.00957708840393633	0.00278121622382827	0	0	0.00337156140073603	0	0	0.000443740741080314	0	0.00430331588368771	0.00159315717364858	0	0	0	0.00901637305465996	0.00854009141239674	0.00814639952518987	0	0.0177015475351127	0.00699302960106012	0.00895853809253434	0.00321597924415468	0.00870837239342331
chr3:124750000-124752000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0223638435925575	0	0	0	0	0	0	0	0	0	0	0
chr3:125740000-125742000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000902942077592792	0	0	0	0	0	0	0	0	0	0
chr3:125770000-125772000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00530393620441927	0	0	0	0	0	0	0	0	0	0	0
chr3:125886000-125888000	-0.0250642615969095	-0.0320063957951868	-0.0501177033554869	-0.0134621545663246	-0.0511939346121646	-0.0551075873571878	-0.0676062232189476	-0.0453011273624117	-0.0493329285621751	-0.0372001118197694	0	-0.0606446869757928	-0.0391197930372863	-0.0629267054849217	-0.0558029321140773	-0.0215216524800486	-0.00994449308171114	-0.0320642118335136	-0.0476499852256733	-0.0466676216462758	-0.0484267209084571	-0.0543829981835817	-0.0509675972192142	-0.048768974872137	-0.0502089178909152	-0.0716394337326395	-0.0488215347859826
chr3:127374000-127376000	0	0	0	0	0	-0.00309595481111093	0	0	0	0	0	0	0	-0.00138613001431025	0	0	0	-0.00824137073450925	0	0	0	0	0	0	0	-0.00183192031980647	0
chr3:128076000-128078000	0	0	0	0	0	0	0	0	0	0	-0.00113579791946838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3:129358000-129360000	-0.0312943405320115	-0.0458268461609261	-0.0313936470446579	-0.0185837452833829	-0.045072057463735	-0.0333518809334661	-0.0481257791876919	-0.0512607279396731	-0.0559380539268718	-0.0501103919357279	-0.0446599033567305	-0.0478137184895999	-0.0697092711029162	-0.0544923181042787	-0.0443601260063518	-0.0262536497188729	-0.0263925210500912	-0.0238366544991037	-0.0493723996319702	-0.0486570094715116	-0.0502572243204288	-0.0555450307088303	-0.0543800685528342	-0.0519335039088152	-0.0460491303054525	-0.040983152797381	-0.0495884637818246
chr3:134992000-134994000	-0.00461066122819228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3:140826000-140828000	0	0	0	0	0	0.00936046373899881	0.00311043001989152	0	0	0.00571360984573576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00260210706267029	0
chr3:149448000-149450000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000474752344330364	0	0	0	0	0
chr3:194180000-194182000	0	0	0	-0.0109357411511828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr3:195678000-195680000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000614222031268173	0	0	0	0	0	0	0	0	0	0	0
chr3:195696000-195698000	0	0.000984013393486114	0.00852653625880528	0	0.00934865266013654	0	0.00264856900882512	0	0.0220631880832812	0.00340757133664229	0.00234468648525047	0.00817596730536647	0.0131586972643671	0	0	0	0.0318705748589439	0	0.00247353414706195	0.00246424003584623	0.000749033147380197	0.00575327939979882	0.00333105583429889	0.00161744331069282	0.00016537053897779	0.0123076985168315	0.00249150419771722
chr3:195746000-195748000	0.0405984911476417	0.00611984353461934	0	0.035115454091193	0.0107071975549158	0.017432302173029	0.00301378628873118	0.0134315866692336	0.00805680101886297	0.00582907135892694	0.00224021411335893	0.00324487457952994	0	0	0.0330306629271548	0	0.0644708471588117	0.0189311355786544	0.0108105399216188	0.0120519113623062	0.00910783292035402	0.0208319422540068	0.0124493189551913	0.0125943068461709	0.007071460295247	0.00592596594244554	0.0123590649895952
chr4:706000-708000	0	0.000314181382863262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4:3586000-3588000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0025998482444926	0	0	0	0	0	0	0	0	0
chr4:9496000-9498000	0	0	0	0.00155029584800638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129567647834165	0	0
chr4:10004000-10006000	-0.00983302186288476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00121980178216202	0	0	0	0	0	0	0	0	0
chr4:49288000-49290000	0	-0.0192388933283816	-0.0177576765513871	-0.00937301676401095	-0.00948404924235112	-0.0185609324684534	-0.0163680290468756	-0.0183621000108691	-0.0238193331438632	-0.0139494965190364	-0.000556062571026286	-0.00933134175762035	-0.00530882187674844	-0.010521515733985	-0.0120142544050226	-0.0252746130580364	0	-0.0219268358405565	-0.0120579217593031	-0.0142362603726037	-0.0136135528238526	-0.00881607136347553	-0.0174343378311293	-0.0127764781296799	-0.0114400986616047	-0.0166888245844362	-0.012358815951553
chr4:84482000-84484000	0	0	0	0.00038512701975156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4:85684000-85686000	0	0.0146686920202205	0	0.0150535068170242	0.00606711814010229	0.0197788450889102	0	0.000337676522104071	0.0105067491256544	0.0285226376681612	0	0.014100214710086	0	0.0207089358594278	0.0130956088414363	0	0	0	0.0098193987477592	0.00818308760209176	0.0117466468517953	0.00560435661739247	0.0193848986112864	0.015588558432847	0.0125748921794864	0.0138065088187163	0.0100158593308801
chr4:110610000-110612000	0	0	0	0.00623473266775943	0	0	0	0.00652491606321402	0	0	0.00280946770951853	0	0	0	0	0	0	0	0	0	0	0	0	0.00208546254343457	0	0	0
chr4:119742000-119744000	0	0	0	0	0	-0.0069772794085596	-0.0175628672076633	-0.00131824277739994	-0.00233041873425535	0	0	-0.00419362365801042	-0.00253108539144769	-0.0125616844642018	0	0	0	0	-0.00101597092849446	-0.00202872980658025	0	-0.021742469828707	-0.00926634372997254	0	-0.00425344909047475	-0.00423732593973883	-0.00126539503213318
chr4:157220000-157222000	0.0218103634260196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0222219303902512	0	0	0	0	0	0	0	0	0
chr4:183614000-183616000	0	0	0	0	-0.00922822242371102	0	0	0	0	-0.00616112628847081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4:189880000-189882000	0	0	0	-0.0275955419395531	0	0	0	0	-0.00135011147128147	0	0	0	0	0	-0.0047312041762154	0	0	-0.0182363602057072	0	0	0	0	0	0	0	0	0
chr5:688000-690000	-0.00649604155230012	-0.0050227633195766	-0.0187738135362402	-0.00363000002926436	-0.00953886665890218	-0.00695065532838166	-0.00984750970807335	-0.0174392094687561	-0.0153215849249525	-0.0314145230739154	-0.0104301439294599	-0.0108671259416648	-0.0165775112606873	-0.0113327837804037	-0.019220272599504	0	-0.009590731534716	0	-0.0115915034455679	-0.0108210184752044	-0.0132229409706695	-0.00539744297573231	-0.0106349415315121	-0.0108574388116615	-0.00806054456876977	-0.0161048382264238	-0.0118118466421789
chr5:748000-750000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00407355388622745	0	0	0	0	0	0	0	0	0
chr5:836000-838000	0	-0.0306983178151823	-0.0166653395477818	0	-0.017382949348075	-0.015198902591259	-0.0266853961292119	-0.0190562786047604	-0.0228317928124941	-0.0114156420533245	0	-0.0173391973914344	-0.0035343556251616	-0.00299459417849551	-0.00810632313090648	-0.0187998904039683	-0.0519777937610618	-0.0418968607714371	-0.0204569972620513	-0.0217836862079526	-0.0186106701127384	-0.0172992166332669	-0.0195061954674526	-0.0185635571503539	-0.016902042886381	-0.0258984536250955	-0.0203652446088117
chr5:842000-844000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00642613002011404	-2.40705603668571e-05	0	0	0	0	0	0	0	0	0	0
chr5:1178000-1180000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0136683096774681	0	0	0	0	0	0	0	0	0	0
chr5:16178000-16180000	0	0	0	0	0	0	0	0.00336935625020913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5:21482000-21484000	-0.0119165573312457	0	-0.0174795946263007	-0.0312709883424109	0	-0.00401337018157298	-0.0158413342486238	0	0	0	-0.00134624494032691	0	-0.00828244444512312	-0.00607730269915548	-0.000302771325543649	-0.00537118193066395	0	-0.0209859389958286	-3.2988680454114e-05	-0.0016230164209924	-0.00359772290460998	0	0	-0.000772200923412169	-0.00142050123900046	-0.00942586265365846	-0.000191204893343544
chr5:21492000-21494000	-0.05248870932274	-0.0397360636012586	-0.0076566169757056	-0.0198424261985691	-0.0138633872666777	-0.0249364922395769	-0.0192358378631584	-0.028405082818533	-0.0154601491414237	-0.015478065348721	-0.00311486096423229	-0.0297635506986209	-0.00963634530131775	-0.0209802915977362	-0.00563856645790741	-0.0500341682428301	-0.0269747103478633	-0.0214765301071075	-0.0243174047213102	-0.0243262911842738	-0.0233545399150281	-0.0278844369524186	-0.0232591871844957	-0.0254655733734766	-0.0257141726981924	-0.00900209360489711	-0.0241215702370931
chr5:21494000-21496000	-0.00378554468950165	0	0	0	0	0	0	0	0	0	-0.00752921794405014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5:21496000-21498000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00444908161408707	0	0	0	0	0	0	0	0	0	0
chr5:33554000-33556000	-0.0145147908897541	-0.01185440356261	-0.0219834324253694	0	-0.0124908760255709	-0.00204154490084166	-0.00359733777616459	-0.00455693286755568	0	-0.0149345403366013	-0.0235727515891432	0	0	-0.00602976417808588	-0.00438366891753849	0	-0.0181435190046421	0	-0.0149156220837507	-0.0158027911525385	-0.0184195590887115	0	-0.0139006213689915	-0.0167693177593637	-0.0209897783651747	-0.00810074402383706	-0.0147184384750281
chr5:37562000-37564000	0	0.000596920632839666	0	0	0.00662909754232952	0.0108726981646351	0	0.00255705647254299	0.0187734108589524	0.0166121833256885	0	0.00191771022745589	0.0105731965602689	0.00434504515152378	0	0.00116964783617322	0	0	0.00450865063149644	0.00627435341734798	0.00716475023015458	0.00220080115747766	0.00630819329875579	0.00370954068377867	0.00302873402650682	0.00727107859534726	0.00519774092822379
chr5:149180000-149182000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00266936783268234	0	0	0	0	0	0	0	0	0	0	0
chr5:150640000-150642000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0102019710923002	0	0	0	0	0	0	0	0	0	0	0
chr5:167940000-167942000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000772233651615374	0	0	0	0	0	0	0	0	0	0
chr5:169976000-169978000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.010933206807245	0	0	0	0	0	0	0	0	0	0	0
chr5:171402000-171404000	0.00310978706240271	0	0.0209231543594007	0	0.00666830048626746	0	0.0144679594697363	0.0138087560801555	0.00627943644399699	0.00362714480686264	0	0.00769228417503565	7.84703953834611e-05	0	0.00957883258630151	0	0	0	0.00256338410801755	0.00293900323578063	0.00266028470848569	0.00734163917127941	0.000387521888072144	0.000869999542828335	0.00468250259318246	0	0.00226249728592867
chr6:392000-394000	0.0057206465335392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00529455830468683	0	0	0	0	0	0	0	0	0	0	0
chr6:3522000-3524000	0	0	0	0	0	0	0	0	0	0	-0.0130046124292059	0	0	0	0	-0.0042183742167273	0	0	0	0	0	0	0	0	0	0	0
